name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maribyrnong,2015-02-18,21.4,16.9,18.7,21.4,16.9,18.7,14.3,76,0,0,0,,0,0,37.1,20.5,183.1,1020,94.5,10,161.9,14.1,5,,2015-02-18T06:52:33,2015-02-18T20:15:41,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"95866099999,94864099999"
Maribyrnong,2015-02-19,29.1,17.1,21.9,29.5,17.1,22,16.7,74.7,0.2,100,8.33,rain,0,0,26.3,24.1,232.4,1016.7,50,10,233,20.3,7,,2015-02-19T06:53:38,2015-02-19T20:14:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-20,27.4,14.7,21.2,28.3,14.7,21.3,16.7,76.8,0,0,0,,0,0,34.2,25.9,195.7,1015.1,10.4,10,280,24.4,9,,2015-02-20T06:54:42,2015-02-20T20:13:10,0.04,Clear,Clear conditions throughout the day.,clear-day,"95866099999,94864099999"
Maribyrnong,2015-02-21,36.1,17.5,25.8,35.5,17.5,25.6,15.5,59.5,0.567,100,4.17,rain,0,0,38.5,33.5,26.5,1012.7,45.5,10,284.7,24.5,10,,2015-02-21T06:55:46,2015-02-21T20:11:53,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-22,35.4,21.4,27.7,34.8,21.4,27.7,15.4,48.5,0,0,0,,0,0,47.2,31.7,22.3,1011.9,47,10,288.3,25,9,,2015-02-22T06:56:50,2015-02-22T20:10:35,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-23,29.2,15.6,21.1,29.4,15.6,21.2,15.5,71.4,6.134,100,8.33,rain,0,0,54,37.1,198.2,1013.6,56.8,10,220.6,19,7,,2015-02-23T06:57:53,2015-02-23T20:09:16,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,remote,94864099999"
Maribyrnong,2015-02-24,20.6,14.8,17.3,20.6,14.8,17.3,9.6,61.5,0.4,100,4.17,rain,0,0,50.8,29.5,171.1,1019.3,76.8,10,275.8,23.9,9,,2015-02-24T06:58:56,2015-02-24T20:07:56,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-02-25,27.1,11.6,19.5,27.3,11.6,19.5,13.3,69.9,0,0,0,,0,0,29.9,22.3,159.3,1012.9,43.9,10,182.2,15.9,7,,2015-02-25T06:59:59,2015-02-25T20:06:36,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-26,23.8,14.7,19.2,23.8,14.7,19.2,14.5,75.2,0,0,0,,0,0,34.2,22.3,208.2,1009.9,54.9,10,211.6,18.3,7,,2015-02-26T07:01:01,2015-02-26T20:05:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-27,25.3,11.7,18.7,25.3,11.7,18.7,13.2,72.6,0,0,0,,0,0,31,22.3,186.4,1010.1,45.2,10,244.8,21.3,8,,2015-02-27T07:02:03,2015-02-27T20:03:52,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-02-28,32.1,16.8,22.5,30.6,16.8,22.2,13.4,61.7,1.701,100,4.17,rain,0,0,56.5,39.7,8,1005.2,82.1,10,116.4,10.1,6,,2015-02-28T07:03:05,2015-02-28T20:02:29,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-01,21.1,14.8,17.7,21.1,14.8,17.7,12.9,75,14,100,4.17,rain,0,0,46.8,27.7,196.5,1012.1,53.6,10,220.9,19.1,8,,2015-03-01T07:04:06,2015-03-01T20:01:05,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-02,24,8.2,16.8,24,8.2,16.8,9.3,64.2,0,0,0,,0,0,22.7,16.6,200.7,1016.3,66.7,10,269.4,23.4,9,,2015-03-02T07:05:07,2015-03-02T19:59:41,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-03,23.3,15.3,18.8,23.3,15.3,18.8,12.2,66.7,0,0,0,,0,0,32.8,18.4,198.4,1015.7,48.4,10,281.8,24.4,9,,2015-03-03T07:06:08,2015-03-03T19:58:16,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-04,25.1,11.7,17.9,25.1,11.7,17.9,10.4,64.2,0,0,0,,0,0,29.2,22.3,255.7,1013,40,10,249.4,21.5,8,,2015-03-04T07:07:08,2015-03-04T19:56:50,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95866099999,94864099999"
Maribyrnong,2015-03-05,19.1,10.9,15.6,19.1,10.9,15.6,6.9,57.3,0.8,100,8.33,rain,0,0,68.4,40.7,233.8,1014.5,50.6,10,233.2,20.2,8,,2015-03-05T07:08:08,2015-03-05T19:55:24,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-06,20.1,13.1,16.1,20.1,13.1,16.1,11.3,73.6,0.686,100,8.33,rain,0,0,58,38.9,262.6,1011.5,95.6,10,75.8,6,3,,2015-03-06T07:09:08,2015-03-06T19:53:57,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"95866099999,94864099999"
Maribyrnong,2015-03-07,23.1,13.8,17.4,23.1,13.8,17.4,13,76.7,0.546,100,4.17,rain,0,0,31,18.4,277.3,1011.6,75.9,10,133.7,11.4,5,,2015-03-07T07:10:07,2015-03-07T19:52:30,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95866099999,94864099999"
